date,Unnamed: 0,impressions,date,reach,comments,likes
2022-04-14,492,48,2022-04-14,25,0.0,0.0
2022-04-15,493,64,2022-04-15,28,0.0,0.0
2022-04-16,494,75,2022-04-16,40,0.0,0.0
2022-04-18,497,306,2022-04-18,268,0.0,0.0
2022-04-19,498,149,2022-04-19,121,0.0,0.0
2022-04-20,499,126,2022-04-20,105,0.0,0.0
2022-04-21,500,60,2022-04-21,39,0.0,0.0
2022-04-22,501,78,2022-04-22,61,0.0,0.0
2022-04-23,502,56,2022-04-23,42,0.0,0.0
2022-04-25,505,530,2022-04-25,409,0.0,0.0
2022-04-26,506,99,2022-04-26,90,0.0,0.0
2022-04-27,507,55,2022-04-27,44,0.0,0.0
2022-04-28,508,601,2022-04-28,449,0.0,0.0
2022-04-29,509,281,2022-04-29,249,0.0,0.0
2022-04-30,510,106,2022-04-30,101,0.0,0.0
2022-05-02,513,36,2022-05-02,24,0.0,0.0
2022-05-03,514,57,2022-05-03,19,0.0,0.0
2022-05-04,515,26,2022-05-04,24,0.0,0.0
2022-05-05,516,192,2022-05-05,36,0.0,0.0
2022-05-06,517,33,2022-05-06,29,0.0,0.0
2022-05-07,518,47,2022-05-07,33,0.0,0.0
2022-05-09,521,235,2022-05-09,158,0.0,0.0
2022-05-10,522,285,2022-05-10,115,0.0,0.0
2022-05-11,523,81,2022-05-11,65,0.0,0.0
2022-05-12,524,196,2022-05-12,177,0.0,0.0
2022-05-13,525,56,2022-05-13,51,0.0,0.0
2022-05-14,526,50,2022-05-14,38,0.0,0.0
2022-05-16,529,379,2022-05-16,327,0.0,0.0
2022-05-17,530,487,2022-05-17,409,0.0,0.0
2022-05-18,531,584,2022-05-18,360,0.0,0.0
2022-05-19,532,260,2022-05-19,100,0.0,0.0
2022-05-20,533,126,2022-05-20,49,0.0,0.0
2022-05-21,534,43,2022-05-21,29,0.0,0.0
2022-05-23,537,42,2022-05-23,32,0.0,0.0
2022-05-24,538,59,2022-05-24,33,0.0,0.0
2022-05-25,539,32,2022-05-25,24,0.0,0.0
2022-05-26,540,53,2022-05-26,41,0.0,0.0
2022-05-27,541,53,2022-05-27,28,0.0,0.0
2022-05-28,542,375,2022-05-28,308,0.0,0.0
2022-05-30,545,121,2022-05-30,105,0.0,0.0
2022-05-31,546,64,2022-05-31,59,0.0,0.0
2022-06-01,547,38,2022-06-01,25,0.0,0.0
2022-06-02,548,45,2022-06-02,30,0.0,0.0
2022-06-03,549,30,2022-06-03,21,0.0,0.0
2022-06-04,550,58,2022-06-04,32,0.0,0.0
2022-06-06,553,64,2022-06-06,28,0.0,0.0
2022-06-07,554,45,2022-06-07,20,0.0,0.0
2022-06-08,555,158,2022-06-08,30,0.0,0.0
2022-06-09,556,14,2022-06-09,12,0.0,0.0
2022-06-10,557,31,2022-06-10,25,0.0,0.0
2022-06-11,558,28,2022-06-11,24,0.0,0.0
2022-06-13,561,21,2022-06-13,15,0.0,0.0
2022-06-14,562,88,2022-06-14,31,0.0,0.0
2022-06-15,563,57,2022-06-15,29,0.0,0.0
2022-06-16,564,151,2022-06-16,26,0.0,0.0
2022-06-17,565,402,2022-06-17,365,0.0,0.0
2022-06-18,566,235,2022-06-18,133,0.0,0.0
2022-06-20,569,104,2022-06-20,80,0.0,0.0
2022-06-21,570,71,2022-06-21,40,0.0,0.0
2022-06-22,571,99,2022-06-22,31,0.0,0.0
2022-06-23,572,72,2022-06-23,15,0.0,0.0
2022-06-24,573,59,2022-06-24,22,0.0,0.0
2022-06-25,574,53,2022-06-25,22,0.0,0.0
2022-06-27,577,20,2022-06-27,15,0.0,0.0
2022-06-28,578,44,2022-06-28,21,0.0,0.0
2022-06-29,579,283,2022-06-29,251,0.0,0.0
2022-06-30,580,83,2022-06-30,58,0.0,0.0
2022-07-01,581,68,2022-07-01,46,0.0,0.0
2022-07-02,582,43,2022-07-02,27,0.0,0.0
2022-07-04,585,57,2022-07-04,23,0.0,0.0
2022-07-05,586,30,2022-07-05,21,0.0,0.0
2022-07-06,587,312,2022-07-06,254,0.0,0.0
2022-07-07,588,190,2022-07-07,170,0.0,0.0
2022-07-08,589,95,2022-07-08,57,0.0,0.0
2022-07-09,590,97,2022-07-09,31,0.0,0.0
2022-07-11,593,60,2022-07-11,30,0.0,0.0
2022-07-12,594,40,2022-07-12,29,0.0,0.0
2022-07-13,595,74,2022-07-13,28,0.0,0.0
2022-07-14,596,216,2022-07-14,88,0.0,0.0
2022-07-15,597,383,2022-07-15,320,0.0,0.0
2022-07-16,598,122,2022-07-16,107,0.0,0.0
2022-07-18,601,64,2022-07-18,30,0.0,0.0
2022-07-19,602,33,2022-07-19,25,0.0,0.0
2022-07-20,603,43,2022-07-20,19,0.0,0.0
2022-07-21,604,437,2022-07-21,247,0.0,0.0
2022-07-22,605,26,2022-07-22,19,0.0,0.0
2022-07-23,606,48,2022-07-23,18,0.0,0.0
2022-07-25,609,36,2022-07-25,20,0.0,0.0
2022-07-26,610,20,2022-07-26,18,0.0,0.0
2022-07-27,611,66,2022-07-27,25,0.0,0.0
2022-07-28,612,32,2022-07-28,22,0.0,0.0
2022-07-29,613,81,2022-07-29,16,0.0,0.0
2022-07-30,614,39,2022-07-30,20,0.0,0.0
2022-08-01,617,21,2022-08-01,19,0.0,0.0
2022-08-02,618,41,2022-08-02,20,0.0,0.0
2022-08-03,619,34,2022-08-03,22,0.0,0.0
2022-08-04,620,36,2022-08-04,19,0.0,0.0
