,impressions,date,reach
691,1133,2022-12-23,811
692,1209,2022-12-24,886
693,1318,2022-12-25,953
694,1186,2022-12-26,1005
695,1246,2022-12-27,1031
696,1286,2022-12-28,1056
697,1489,2022-12-29,1138
698,1504,2022-12-30,1071
699,1430,2022-12-31,1013
700,1384,2023-01-01,998
701,1346,2023-01-02,939
702,2090,2023-01-03,1470
703,2541,2023-01-04,1668
704,2323,2023-01-05,1621
705,2163,2023-01-06,1560
706,2154,2023-01-07,1547
707,2488,2023-01-08,1664
708,2585,2023-01-09,1679
709,1773,2023-01-10,1294
710,1406,2023-01-11,1000
711,1416,2023-01-12,975
712,1451,2023-01-13,988
713,1472,2023-01-14,995
714,1094,2023-01-15,707
715,991,2023-01-16,651
716,998,2023-01-17,627
717,859,2023-01-18,597
718,746,2023-01-19,504
719,729,2023-01-20,463
720,768,2023-01-21,490
